album-artist -> k = 55
tags -> k = 15
total = al_ar + k * tags

1st

k = 0.00 		map = 0.0790
k = 0.05 		map = 0.0806
k = 0.10 		map = 0.0806
k = 0.15 		map = 0.0810
k = 0.20 		map = 0.0811
k = 0.25 		map = 0.0811
k = 0.30 		map = 0.0812
k = 0.35 		map = 0.0811
k = 0.40 		map = 0.0812
k = 0.45 		map = 0.0807
k = 0.50 		map = 0.0807
k = 0.55 		map = 0.0801
k = 0.60 		map = 0.0796
k = 0.65 		map = 0.0793
k = 0.70 		map = 0.0788
k = 0.75 		map = 0.0782
k = 0.80 		map = 0.0775
k = 0.85 		map = 0.0770
k = 0.90 		map = 0.0763
k = 0.95 		map = 0.0755
k = 1.00 		map = 0.0749
k = 1.05 		map = 0.0743
k = 1.10 		map = 0.0738
k = 1.15 		map = 0.0730

2nd

k = 0.10 		map = 0.0806
k = 0.12 		map = 0.0808
k = 0.14 		map = 0.0810
k = 0.16 		map = 0.0812
k = 0.18 		map = 0.0810
k = 0.20 		map = 0.0811
k = 0.22 		map = 0.0811
k = 0.24 		map = 0.0812
k = 0.26 		map = 0.0810
k = 0.28 		map = 0.0809
k = 0.30 		map = 0.0812
k = 0.32 		map = 0.0815
k = 0.34 		map = 0.0813
k = 0.36 		map = 0.0811
k = 0.38 		map = 0.0814
k = 0.40 		map = 0.0812
k = 0.42 		map = 0.0808
k = 0.44 		map = 0.0808
k = 0.46 		map = 0.0809

3rd

k = 0.20 		map = 0.0811
k = 0.21 		map = 0.0811
k = 0.22 		map = 0.0811
k = 0.23 		map = 0.0809
k = 0.24 		map = 0.0812
k = 0.25 		map = 0.0811
k = 0.26 		map = 0.0810
k = 0.27 		map = 0.0811
k = 0.28 		map = 0.0809
k = 0.29 		map = 0.0809
k = 0.30 		map = 0.0812
k = 0.31 		map = 0.0812
k = 0.32 		map = 0.0815
k = 0.33 		map = 0.0813
k = 0.34 		map = 0.0813
k = 0.35 		map = 0.0811
k = 0.36 		map = 0.0811
k = 0.37 		map = 0.0813
k = 0.38 		map = 0.0814
k = 0.39 		map = 0.0813
k = 0.40 		map = 0.0812
k = 0.41 		map = 0.0810
k = 0.42 		map = 0.0808
k = 0.43 		map = 0.0808
k = 0.44 		map = 0.0808
