cf ub -> k = 60
cf ib -> k = 100
total = cf_ub + k * cf_ib

k = 0.40 		map = 0.0766
k = 0.45 		map = 0.0769
k = 0.50 		map = 0.0774
k = 0.55 		map = 0.0775
k = 0.60 		map = 0.0777
k = 0.65 		map = 0.0779
k = 0.70 		map = 0.0778
k = 0.75 		map = 0.0778
k = 0.80 		map = 0.0776
k = 0.85 		map = 0.0777
k = 0.90 		map = 0.0780
k = 0.95 		map = 0.0780
k = 1.00 		map = 0.0781
k = 1.05 		map = 0.0784
k = 1.10 		map = 0.0783
k = 1.15 		map = 0.0782
k = 1.20 		map = 0.0783
k = 1.25 		map = 0.0784
k = 1.30 		map = 0.0783
k = 1.35 		map = 0.0784
k = 1.40 		map = 0.0784
k = 1.45 		map = 0.0782
k = 1.50 		map = 0.0781
k = 1.55 		map = 0.0782
k = 1.60 		map = 0.0781
k = 1.65 		map = 0.0781
k = 1.70 		map = 0.0782
k = 1.75 		map = 0.0782
k = 1.80 		map = 0.0781
k = 1.90 		map = 0.0780
k = 2.00 		map = 0.0779
k = 2.10 		map = 0.0779
k = 2.20 		map = 0.0778
k = 2.30 		map = 0.0778
k = 2.40 		map = 0.0778
k = 2.50 		map = 0.0777
k = 2.60 		map = 0.0775
k = 2.70 		map = 0.0774
k = 2.80 		map = 0.0773
k = 2.90 		map = 0.0772
k = 3.00 		map = 0.0772
k = 3.10 		map = 0.0771
k = 3.20 		map = 0.0771
k = 3.30 		map = 0.0772
k = 3.40 		map = 0.0771
k = 3.50 		map = 0.0771
